, , First, Second, Both, Cuffed, Chance 
Adrian Peterson, Andre Ellington, 1544, 13, 8, 1, 1 
Devonta Freeman, Tevin Coleman, 1651, 1487, 1356, 218, 143 
Javorius Allen, Terrance West, 28, 1229, 24, 4, 2 
LeSean McCoy, Mike Tolbert, 1593, 14, 9, 2, 1 
Christian McCaffrey, Jonathan Stewart, 1654, 1013, 921, 128, 88 
Jordan Howard, Tarik Cohen, 1588, 117, 103, 25, 10 
Joe Mixon, Jeremy Hill, 1575, 677, 606, 91, 56 
Isaiah Crowell, Duke Johnson, 1609, 1064, 978, 144, 95 
Ezekiel Elliott, Darren McFadden, 1550, 1355, 1158, 287, 122 
CJ Anderson, Jamaal Charles, 1586, 813, 757, 126, 72 
Ameer Abdullah, Theo Riddick, 1570, 1174, 1107, 132, 111 
Ty Montgomery, Aaron Jones, 1633, 32, 31, 10, 3 
Lamar Miller, D'Onta Foreman, 1660, 312, 287, 61, 26 
Frank Gore, Marlon Mack, 1435, 443, 432, 62, 39 
Leonard Fournette, Chris Ivory, 1621, 18, 16, 5, 2 
Kareem Hunt, Charcandrick West, 1552, 136, 125, 31, 11 
Melvin Gordon, Austin Ekeler, 1559, 1, 1, 0, 0 
Todd Gurley, Malcolm Brown, 1671, 8, 8, 4, 1 
Jay Ajayi, Kenyan Drake, 1619, 17, 17, 6, 2 
Jerick McKinnon, Latavius Murray, 38, 535, 30, 10, 3 
Mike Gillislee, James White, 1368, 882, 766, 105, 72 
Mark Ingram, Alvin Kamara, 1634, 426, 408, 62, 37 
Orleans Darkwa, Wayne Gallman, 6, 21, 3, 0, 0 
Bilal Powell, Matt Forte, 1591, 873, 825, 113, 77 
Marshawn Lynch, Deandre Washington, 1674, 230, 211, 39, 18 
LeGarrette Blount, Wendell Smallwood, 1287, 263, 229, 32, 20 
Le'Veon Bell, James Conner, 1628, 229, 214, 65, 20 
Thomas Rawls, Eddie Lacy, 972, 1279, 861, 130, 82 
Carlos Hyde, Matt Breida, 1559, 41, 40, 8, 3 
Doug Martin, Jacquizz Rodgers, 1513, 954, 873, 226, 84 
DeMarco Murray, Derrick Henry, 1642, 1357, 1237, 239, 128 
Rob Kelley, Chris Thompson, 1272, 220, 190, 31, 16 
